,name,bandwidth,avg-time,time,max-time,array-size,ntimes,block-size,dtype,compiler,compiler-flags,axis,vector-size,explicit-vectorization,unroll-factor,launch-bounds,index-type,streaming-stores,streaming-loads,print-code,verify,sbench-version,benchmark-name
65,scale,8000.0,5e-06,4e-06,7e-06,4096,10,1024,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
66,add,9600.0,5e-06,5e-06,5e-06,4096,10,1024,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
67,triad,12000.0,5e-06,4e-06,5e-06,4096,10,1024,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
68,copy,8000.0,5e-06,4e-06,5e-06,4096,10,1024,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
69,scale,8000.0,5e-06,4e-06,7e-06,4096,10,1024,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
70,add,9600.0,6e-06,5e-06,1e-05,4096,10,1024,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
71,triad,12000.0,5e-06,4e-06,5e-06,4096,10,1024,float32,nvcc,,x,1,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
72,copy,6440.3,5e-06,5e-06,5e-06,4096,10,32,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
73,scale,6440.3,5e-06,5e-06,5e-06,4096,10,32,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
74,add,12000.0,5e-06,4e-06,5e-06,4096,10,32,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
75,triad,9600.0,5e-06,5e-06,5e-06,4096,10,32,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
76,copy,8000.0,5e-06,4e-06,5e-06,4096,10,32,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
77,scale,6400.0,6e-06,5e-06,1.2e-05,4096,10,32,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
78,add,9600.0,5e-06,5e-06,5e-06,4096,10,32,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
79,triad,12000.0,5e-06,4e-06,5e-06,4096,10,32,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
80,copy,8000.0,5e-06,4e-06,5e-06,4096,10,32,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
81,scale,8000.0,5e-06,4e-06,7e-06,4096,10,32,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
82,add,12000.0,5e-06,4e-06,6e-06,4096,10,32,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
83,triad,12000.0,5e-06,4e-06,5e-06,4096,10,32,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
84,copy,8000.0,5e-06,4e-06,5e-06,4096,10,64,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
85,scale,7938.0,5e-06,4e-06,5e-06,4096,10,64,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
86,add,12000.0,5e-06,4e-06,5e-06,4096,10,64,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
87,triad,12094.5,5e-06,4e-06,5e-06,4096,10,64,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
88,copy,7938.0,5e-06,4e-06,6e-06,4096,10,64,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
89,scale,8000.0,5e-06,4e-06,7e-06,4096,10,64,float32,nvcc,,x,2,True,1,True,std::size_t,False,False,False,True,0.11.0,stencil_benchmarks.benchmarks_collection.stream.cuda_hip.Native
